cell,variant,pin,power,cap
SDFFN,X4,Q,1159,
SDFFNR,XL,SI,429,19
SDFFNR,XL,SE,494,45
SDFFNR,XL,D,369,26
SDFFNR,XL,CNK,374,22
SDFFNR,XL,RN,167,21
SDFFNR,XL,Q,448,
SDFFNR,X1,SI,391,19
SDFFNR,X1,SE,445,39
SDFFNR,X1,D,334,18
SDFFNR,X1,CKN,366,27
SDFFNR,X1,RN,184,26
SDFFNR,X1,Q,516,
SDFFNR,X2,SI,457,21
SDFFNR,X2,SE,542,43
SDFFNR,X2,D,409,18
SDFFNR,X2,CKN,464,32
SDFFNR,X2,RN,216,33
SDFFNR,X2,Q,811,
SDFFNR,X4,SI,536,20
SDFFNR,X4,SE,590,45
SDFFNR,X4,D,465,23
SDFFNR,X4,CKN,546,37
SDFFNR,X4,RN,323,54
SDFFNR,X4,Q,1348,
SDFFNS,XL,SI,417,19
SDFFNS,XL,SE,476,45
SDFFNS,XL,D,355,25
SDFFNS,XL,CKN,351,20
SDFFNS,XL,SN,50,47
SDFFNS,XL,Q,424,
SDFFNS,X1,SI,355,19
SDFFNS,X1,SE,401,39
SDFFNS,X1,D,307,17
SDFFNS,X1,CKN,339,26
SDFFNS,X1,SN,59,52
SDFFNS,X1,Q,501,
SDFFNS,X2,SI,389,19
SDFFNS,X2,SE,436,39
SDFFNS,X2,D,342,16
SDFFNS,X2,CKN,368,26
SDFFNS,X2,SN,92,69
SDFFNS,X2,Q,772,
SDFFNS,X4,SI,472,19
SDFFNS,X4,SE,518,42
SDFFNS,X4,D,415,18
SDFFNS,X4,CKN,480,34
SDFFNS,X4,SN,166,117
SDFFNS,X4,Q,1334,
SDFFNSR,XL,SI,441,19
SDFFNSR,XL,SE,508,42
SDFFNSR,XL,D,384,21
SDFFNSR,XL,CKN,348,22
SDFFNSR,XL,SN,51,61
SDFFNSR,XL,RN,176,21
SDFFNSR,XL,Q,450,
SDFFNSR,X1,SI,390,18
SDFFNSR,X1,SE,454,39
SDFFNSR,X1,D,337,15
SDFFNSR,X1,CKN,346,27
SDFFNSR,X1,SN,56,66
SDFFNSR,X1,RN,196,24
SDFFNSR,X1,Q,535,
SDFFNSR,X2,SI,443,18
SDFFNSR,X2,SE,503,40
SDFFNSR,X2,D,388,16
SDFFNSR,X2,CKN,385,27
SDFFNSR,X2,SN,92,88
SDFFNSR,X2,RN,234,35
SDFFNSR,X2,Q,828,
SDFFNSR,X4,SI,567,18
SDFFNSR,X4,SE,627,44
SDFFNSR,X4,D,504,23
SDFFNSR,X4,CKN,542,40
SDFFNSR,X4,SN,170,148
SDFFNSR,X4,RN,402,60
SDFFNSR,X4,Q,1441,
SDFFR,XL,SI,420,21
SDFFR,XL,SE,484,47
SDFFR,XL,D,361,28
SDFFR,XL,CK,436,22
SDFFR,XL,RN,165,20
SDFFR,XL,Q,282,
SDFFR,X1,SI,391,22
SDFFR,X1,SE,442,41
SDFFR,X1,D,334,20
SDFFR,X1,CK,420,27
SDFFR,X1,RN,185,25
SDFFR,X1,Q,343,
SDFFR,X2,SI,443,23
SDFFR,X2,SE,525,45
SDFFR,X2,D,395,20
SDFFR,X2,CK,481,32
SDFFR,X2,RN,213,33
SDFFR,X2,Q,817,
SDFFR,X4,SI,535,22
SDFFR,X4,SE,590,47
SDFFR,X4,D,464,25
SDFFR,X4,CK,498,37
SDFFR,X4,RN,313,54
SDFFR,X4,Q,1210,
SDFFRHQ,XL,SI,434,21
SDFFRHQ,XL,SE,520,48
SDFFRHQ,XL,D,369,27
SDFFRHQ,XL,CK,416,20
SDFFRHQ,XL,RN,212,23
SDFFRHQ,XL,Q,136,
SDFFRHQ,X1,SI,523,21
SDFFRHQ,X1,SE,598,41
SDFFRHQ,X1,D,465,19
SDFFRHQ,X1,CK,419,29
SDFFRHQ,X1,RN,253,39
SDFFRHQ,X1,Q,183,
SDFFRHQ,X2,SI,756,21
SDFFRHQ,X2,SE,828,45
SDFFRHQ,X2,D,673,22
SDFFRHQ,X2,CK,496,39
SDFFRHQ,X2,RN,351,53
SDFFRHQ,X2,Q,318,
SDFFRHQ,X4,SI,1129,21
SDFFRHQ,X4,SE,1146,52
SDFFRHQ,X4,D,975,36
SDFFRHQ,X4,CK,664,60
SDFFRHQ,X4,RN,543,93
SDFFRHQ,X4,Q,535,
SDFFS,XL,SI,405,21
SDFFS,XL,SE,466,47
SDFFS,XL,D,339,27
SDFFS,XL,CK,377,20
SDFFS,XL,SN,50,50
SDFFS,XL,Q,283,
SDFFS,X1,SI,354,20
SDFFS,X1,SE,398,42
SDFFS,X1,D,298,17
SDFFS,X1,CK,397,28
SDFFS,X1,SN,60,54
SDFFS,X1,Q,288,
SDFFS,X2,SI,390,20
SDFFS,X2,SE,437,42
SDFFS,X2,D,340,17
SDFFS,X2,CK,430,28
SDFFS,X2,SN,102,73
SDFFS,X2,Q,596,
SDFFS,X4,SI,458,21
SDFFS,X4,SE,501,44
SDFFS,X4,D,396,19
SDFFS,X4,CK,451,35
SDFFS,X4,SN,169,125
SDFFS,X4,Q,1160,
SDFFSHQ,XL,SI,457,21
SDFFSHQ,XL,SE,527,48
SDFFSHQ,XL,D,392,27
SDFFSHQ,XL,CK,387,21
SDFFSHQ,XL,SN,91,79
SDFFSHQ,XL,Q,152,
SDFFSHQ,X1,SI,507,23
SDFFSHQ,X1,SE,559,43
SDFFSHQ,X1,D,462,18
SDFFSHQ,X1,CK,394,28
SDFFSHQ,X1,SN,102,85
SDFFSHQ,X1,Q,177,
SDFFSHQ,X2,SI,682,21
SDFFSHQ,X2,SE,739,44
SDFFSHQ,X2,D,605,21
SDFFSHQ,X2,CK,467,36
SDFFSHQ,X2,SN,173,135
SDFFSHQ,X2,Q,261,
SDFFSHQ,X4,SI,1048,22
SDFFSHQ,X4,SE,1061,50
SDFFSHQ,X4,D,871,30
SDFFSHQ,X4,CK,649,56
SDFFSHQ,X4,SN,317,215
SDFFSHQ,X4,Q,513,
SDFFSR,XL,SI,438,20
SDFFSR,XL,SE,504,44
SDFFSR,XL,D,380,23
SDFFSR,XL,CK,382,24
SDFFSR,XL,SN,58,60
SDFFSR,XL,RN,173,22
SDFFSR,XL,Q,312,
SDFFSR,X1,SI,376,19
SDFFSR,X1,SE,448,41
SDFFSR,X1,D,331,17
SDFFSR,X1,CK,375,29
SDFFSR,X1,SN,62,64
SDFFSR,X1,RN,191,24
SDFFSR,X1,Q,382,
SDFFSR,X2,SI,425,19
SDFFSR,X2,SE,495,42
SDFFSR,X2,D,379,18
SDFFSR,X2,CK,377,29
SDFFSR,X2,SN,98,87
SDFFSR,X2,RN,229,35
SDFFSR,X2,Q,718,
SDFFSR,X4,SI,557,20
SDFFSR,X4,SE,619,46
SDFFSR,X4,D,495,25
SDFFSR,X4,CK,477,40
SDFFSR,X4,SN,177,148
SDFFSR,X4,RN,400,60
SDFFSR,X4,Q,1354,
SDFFSRHQ,XL,SI,480,20
SDFFSRHQ,XL,SE,537,54
SDFFSRHQ,XL,D,408,27
SDFFSRHQ,XL,CK,429,22
SDFFSRHQ,XL,SN,92,105
SDFFSRHQ,XL,RN,240,22
SDFFSRHQ,XL,Q,160,
SDFFSRHQ,X1,SI,534,20
SDFFSRHQ,X1,SE,599,49
SDFFSRHQ,X1,D,475,18
SDFFSRHQ,X1,CK,410,28
SDFFSRHQ,X1,SN,103,112
SDFFSRHQ,X1,RN,267,35
SDFFSRHQ,X1,Q,192,
SDFFSRHQ,X2,SI,752,20
SDFFSRHQ,X2,SE,888,51
SDFFSRHQ,X2,D,711,26
SDFFSRHQ,X2,CK,524,43
SDFFSRHQ,X2,SN,173,166
SDFFSRHQ,X2,RN,418,57
SDFFSRHQ,X2,Q,365,
SDFFSRHQ,X4,SI,1225,21
SDFFSRHQ,X4,SE,1352,58
SDFFSRHQ,X4,D,1124,43
SDFFSRHQ,X4,CK,735,64
SDFFSRHQ,X4,SN,310,272
SDFFSRHQ,X4,RN,671,100
SDFFSRHQ,X4,Q,653,
SDFFTR,XL,SI,418,22
SDFFTR,XL,SE,495,48
SDFFTR,XL,D,353,24
SDFFTR,XL,CK,431,20
SDFFTR,XL,RN,392,27
SDFFTR,XL,Q,142,
SDFFTR,X1,SI,398,22
SDFFTR,X1,SE,453,41
SDFFTR,X1,D,344,17
SDFFTR,X1,CK,415,28
SDFFTR,X1,RN,378,18
SDFFTR,X1,Q,220,
SDFFTR,X2,SI,487,21
SDFFTR,X2,SE,541,44
SDFFTR,X2,D,427,19
SDFFTR,X2,CK,500,39
SDFFTR,X2,RN,469,20
SDFFTR,X2,Q,522,
SDFFTR,X4,SI,753,23
SDFFTR,X4,SE,781,52
SDFFTR,X4,D,620,25
SDFFTR,X4,CK,664,64
SDFFTR,X4,RN,673,38
SDFFTR,X4,Q,944,
SEDFF,XL,SI,460,20
SEDFF,XL,SE,546,39
SEDFF,XL,D,386,19
SEDFF,XL,CK,621,20
SEDFF,XL,E,528,47
SEDFF,XL,Q,26,
SEDFF,X1,SI,483,17
SEDFF,X1,SE,566,38
SEDFF,X1,D,421,17
SEDFF,X1,CK,676,29
SEDFF,X1,E,561,44
SEDFF,X1,Q,61,
SEDFF,X2,SI,619,21
SEDFF,X2,SE,701,43
SEDFF,X2,D,532,21
SEDFF,X2,CK,849,39
SEDFF,X2,E,675,48
SEDFF,X2,Q,249,
SEDFF,X4,SI,884,33
SEDFF,X4,SE,981,50
SEDFF,X4,D,748,32
SEDFF,X4,CK,1243,66
SEDFF,X4,E,949,57
SEDFF,X4,Q,498,
SEDFFHQ,XL,SI,529,21
SEDFFHQ,XL,SE,742,20
SEDFFHQ,XL,D,726,26
SEDFFHQ,XL,CK,581,20
SEDFFHQ,XL,E,937,20
SEDFFHQ,XL,Q,46,
SEDFFHQ,X1,SI,641,21
SEDFFHQ,X1,SE,837,20
SEDFFHQ,X1,D,830,29
SEDFFHQ,X1,CK,756,34
SEDFFHQ,X1,E,984,21
SEDFFHQ,X1,Q,54,
SEDFFHQ,X2,SI,822,21
SEDFFHQ,X2,SE,1010,20
SEDFFHQ,X2,D,999,29
SEDFFHQ,X2,CK,1019,45
SEDFFHQ,X2,E,1171,21
SEDFFHQ,X2,Q,107,
SEDFFHQ,X4,SI,1202,21
SEDFFHQ,X4,SE,1399,20
SEDFFHQ,X4,D,1385,29
SEDFFHQ,X4,CK,1488,64
SEDFFHQ,X4,E,1510,21
SEDFFHQ,X4,Q,158,
SEDFFTR,XL,SI,557,22
SEDFFTR,XL,SE,801,39
SEDFFTR,XL,D,727,20
SEDFFTR,XL,CK,624,19
SEDFFTR,XL,E,932,20
SEDFFTR,XL,RN,510,26
SEDFFTR,XL,Q,37,
SEDFFTR,X1,SI,692,22
SEDFFTR,X1,SE,918,39
SEDFFTR,X1,D,915,30
SEDFFTR,X1,CK,865,35
SEDFFTR,X1,E,1116,21
SEDFFTR,X1,RN,669,26
SEDFFTR,X1,Q,17,
SEDFFTR,X2,SI,692,22
SEDFFTR,X2,SE,918,39
SEDFFTR,X2,D,914,30
SEDFFTR,X2,CK,866,35
SEDFFTR,X2,E,1119,21
SEDFFTR,X2,RN,669,26
SEDFFTR,X2,Q,234,
SEDFFTR,X4,SI,692,22
SEDFFTR,X4,SE,919,39
SEDFFTR,X4,D,918,30
SEDFFTR,X4,CK,869,35
SEDFFTR,X4,E,1107,21
SEDFFTR,X4,RN,669,26
SEDFFTR,X4,Q,733,
TBUF,XL,A,229,22
TBUF,XL,OE,161,39
TBUF,XL,Y,,19
TBUF,X1,A,251,22
TBUF,X1,OE,168,41
TBUF,X1,Y,,24
TBUF,X2,A,338,31
TBUF,X2,OE,224,40
TBUF,X2,Y,,39
TBUF,X3,A,398,43
TBUF,X3,OE,278,41
TBUF,X3,Y,,36
TBUF,X4,A,506,57
TBUF,X4,OE,350,45
TBUF,X4,Y,,47
TBUF,X8,A,922,115
TBUF,X8,OE,690,66
TBUF,X8,Y,,93
TBUF,X12,A,1332,167
TBUF,X12,OE,970,95
TBUF,X12,Y,,137
TBUF,X16,A,1679,201
TBUF,X16,OE,1281,120
TBUF,X16,Y,,179
TBUF,X20,A,2168,264
TBUF,X20,OE,1596,151
TBUF,X20,Y,,222
TBUFI,XL,A,215,46
TBUFI,XL,OE,136,37
TBUFI,XL,Y,,31
TBUFI,X1,A,217,46
TBUFI,X1,OE,137,37
TBUFI,X1,Y,,31
TBUFI,X2,A,410,92
TBUFI,X2,OE,227,56
TBUFI,X2,Y,,37
TBUFI,X3,A,484,20
TBUFI,X3,OE,296,35
TBUFI,X3,Y,,37
TBUFI,X4,A,594,26
TBUFI,X4,OE,360,36
TBUFI,X4,Y,,43
TBUFI,X8,A,1079,46
TBUFI,X8,OE,675,49
TBUFI,X8,Y,,90
TBUFI,X12,A,1576,66
TBUFI,X12,OE,1014,70
TBUFI,X12,Y,,137
TBUFI,X16,A,1978,86
TBUFI,X16,OE,1300,86
TBUFI,X16,Y,,184
TBUFI,X20,A,2582,105
TBUFI,X20,OE,1732,110
TBUFI,X20,Y,,226
TLAT,XL,D,50,33
TLAT,XL,G,204,20
TLAT,XL,Q,311,
TLAT,X1,D,61,41
TLAT,X1,G,223,26
TLAT,X1,Q,362,
TLAT,X2,D,100,60
TLAT,X2,G,260,27
TLAT,X2,Q,642,
TLAT,X4,D,215,136
TLAT,X4,G,414,45
TLAT,X4,Q,1057,
TLATN,XL,D,51,34
TLATN,XL,GN,232,20
TLATN,XL,Q,342,
TLATN,X1,D,63,40
TLATN,X1,GN,259,25
TLATN,X1,Q,408,
TLATN,X2,D,100,61
TLATN,X2,GN,316,27
TLATN,X2,Q,697,
TLATN,X4,D,216,136
TLATN,X4,GN,552,45
TLATN,X4,Q,1133,
TLATNR,XL,D,35,26
TLATNR,XL,GN,259,20
TLATNR,XL,RN,39,38
TLATNR,XL,Q,373,
TLATNR,X1,D,42,31
TLATNR,X1,GN,275,20
TLATNR,X1,RN,42,40
TLATNR,X1,Q,455,
TLATNR,X2,D,75,52
TLATNR,X2,GN,351,24
TLATNR,X2,RN,53,51
TLATNR,X2,Q,745,
TLATNR,X4,D,144,98
TLATNR,X4,GN,585,36
TLATNR,X4,RN,71,68
TLATNR,X4,Q,1233,
TLATNS,XL,D,40,26
TLATNS,XL,GN,247,21
TLATNS,XL,SN,142,19
TLATNS,XL,Q,468,
TLATNS,X1,D,49,31
TLATNS,X1,GN,264,26
TLATNS,X1,SN,146,19
TLATNS,X1,Q,538,
TLATNS,X2,D,83,49
TLATNS,X2,GN,310,27
TLATNS,X2,SN,158,25
TLATNS,X2,Q,854,
TLATNS,X4,D,152,91
TLATNS,X4,GN,449,39
TLATNS,X4,SN,220,37
TLATNS,X4,Q,1365,
TLATNSR,XL,D,39,28
TLATNSR,XL,GN,254,20
TLATNSR,XL,SN,161,20
TLATNSR,XL,RN,48,38
TLATNSR,XL,Q,504,
TLATNSR,X1,D,48,33
TLATNSR,X1,GN,266,26
TLATNSR,X1,SN,177,25
TLATNSR,X1,RN,56,42
TLATNSR,X1,Q,596,
TLATNSR,X2,D,81,51
TLATNSR,X2,GN,341,28
TLATNSR,X2,SN,236,39
TLATNSR,X2,RN,96,60
TLATNSR,X2,Q,967,
TLATNSR,X4,D,164,109
TLATNSR,X4,GN,611,41
TLATNSR,X4,SN,445,66
TLATNSR,X4,RN,186,108
TLATNSR,X4,Q,1593,
TLATR,XL,D,33,25
TLATR,XL,G,250,20
TLATR,XL,RN,40,38
TLATR,XL,Q,289,
TLATR,X1,D,39,31
TLATR,X1,G,255,21
TLATR,X1,RN,40,39
TLATR,X1,Q,377,
TLATR,X2,D,74,52
TLATR,X2,G,292,24
TLATR,X2,RN,52,51
TLATR,X2,Q,693,
TLATR,X4,D,145,99
TLATR,X4,G,505,38
TLATR,X4,RN,73,69
TLATR,X4,Q,1238,
TLATS,XL,D,40,26
TLATS,XL,G,257,21
TLATS,XL,SN,143,20
TLATS,XL,Q,386,
TLATS,X1,D,49,31
TLATS,X1,G,268,27
TLATS,X1,SN,146,19
TLATS,X1,Q,427,
TLATS,X2,D,84,50
TLATS,X2,G,292,27
TLATS,X2,SN,158,25
TLATS,X2,Q,759,
TLATS,X4,D,152,91
TLATS,X4,G,374,40
TLATS,X4,SN,221,37
TLATS,X4,Q,1316,
TLATSR,XL,D,39,28
TLATSR,XL,G,278,20
TLATSR,XL,SN,161,20
TLATSR,XL,RN,47,38
TLATSR,XL,Q,426,
TLATSR,X1,D,48,33
TLATSR,X1,G,278,25
TLATSR,X1,SN,178,25
TLATSR,X1,RN,56,42
TLATSR,X1,Q,510,
TLATSR,X2,D,81,51
TLATSR,X2,G,296,28
TLATSR,X2,SN,239,39
TLATSR,X2,RN,95,60
TLATSR,X2,Q,904,
TLATSR,X4,D,164,109
TLATSR,X4,G,520,41
TLATSR,X4,SN,447,67
TLATSR,X4,RN,185,109
TLATSR,X4,Q,1524,
TTLAT,XL,D,49,34
TTLAT,XL,G,238,20
TTLAT,XL,OE,340,25
TTLAT,XL,Q,261,20
TTLAT,X1,D,99,61
TTLAT,X1,G,245,26
TTLAT,X1,OE,571,32
TTLAT,X1,Q,571,43
TTLAT,X2,D,186,113
TTLAT,X2,G,372,41
TTLAT,X2,OE,1055,55
TTLAT,X2,Q,1060,47
TTLAT,X4,D,187,113
TTLAT,X4,G,525,67
TTLAT,X4,OE,1668,97
TTLAT,X4,Q,1575,89
XNOR2,XL,A,349,58
XNOR2,XL,B,357,21
XNOR2,X1,A,378,54
XNOR2,X1,B,512,64
XNOR2,X2,A,641,85
XNOR2,X2,B,995,141
XNOR2,X4,A,1150,152
XNOR2,X4,B,1814,266
XOR2,XL,A,345,58
XOR2,XL,B,344,22
XOR2,X1,A,355,54
XOR2,X1,B,487,64
XOR2,X2,A,612,84
XOR2,X2,B,987,141
XOR2,X4,A,1054,162
XOR2,X4,B,1681,266
